Country Code,IMF Country Code,Country,Indicator Type,Series Name,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
LAO,544,Lao PDR,Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.62,1.22,4.18,-2.4,4.2,5.32,2.28,0.44,1.42,-2.4,-0.95,1.73,2.82,2.3,1.85,4.53
LVA,941,Latvia,Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,21.25,14.08,7.96,7.17,4.73,-0.79,0.19,2.77,3.79,3.78,1.53,3.01,6.07,6.62,-1.71,-2.46,0.42,-1.85,1.7,0.84,0.05,-0.38,4.61,1.98,,1.9
LBN,446,Lebanon,Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.88,-0.13,4.2,6.1,3.27,147.1,
LSO,666,Lesotho,Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.43,3.43,6.19,8.09,3.71,2.22,2.83,3.37,4.89,3.06,4,3.3,3.44,3.39,2.41,
LBR,668,Liberia,Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.55,12.33,15.22,8.49,6.23,4.02,6.63,12.94,7.57,13.82,19.06,27.47,,,
LTU,946,Lithuania,Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,80.97,33.48,18.97,11.64,11.23,7.3,4.05,-2.47,1.36,2.81,-0.48,0.01,-0.92,-4.84,0.61,7.49,3.48,-3.73,2.44,0.13,-0.78,-0.01,1.05,4.61,4.47,1.39,0.5,7.15
LUX,137,Luxembourg,Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,0.79,1.15,0.78,0.91,2.55,2.36,2.01,1.93,2.14,1.86,2.13,1.87,2.1,0.7,2.14,2.95,2.49,1.51,0.95,0.67,0.36,1.49,1.06,1.79,0.68,
MDG,674,Madagascar,Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.87,20.62,-1.83,4.07,8.13,14.26,6.7,7.36,8.54,11.94,4.92,5.54,7.08,6.87,6.93,3.59,6.72,6,4.75,4.6,
MWI,676,Malawi,Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.81,14.66,8.55,11.7,3.27,-1.35,
MYS,548,Malaysia,Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.91,3.12,1,1.17,3.52,4.84,1.76,5.21,-2.17,1.38,2.83,1.03,1.32,2.88,0.93,0.74,4.53,0,-0.61,-2.41,
MLI,678,Mali,Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.71,3.34,1.08,1.46,-0.26,-1.19,1.52,1.41,-2.69,-1.76,3.85
MLT,181,Malta,Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.79,0.15,3.17,0.59,1.72,2.4,1.89,0.12,0.23,0.58,0.08,0.86,0.64,1.02,0.05,
MRT,682,Mauritania,Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.29,6.49,3.78,1.84,-0.89,0.88,2.21,2.25,2.63,3.39,
MUS,684,Mauritius,Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.87,4.92,5.26,4.56,4.83,7.77,6.4,7.4,3.03,3.27,7.81,4.46,4.3,3.08,0.64,1.85,4.95,1.32,-0.04,2.05,5.45
MEX,273,Mexico,Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.63,3.56,3.32,3.46,4.24,5.19,4.77,3.54,3.4,3.73,4.19,2.62,2.69,6.51,5.29,4,2.65,2.31
MDA,921,Moldova,Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.15,9.87,6.55,6.32,3.62,4.45,2.18,5.38
MNG,948,Mongolia,Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.42,23.97,9.8,9.42,7.86,11.94,11.04,13.36,6.61,1.74,4.2,5.79,5.67,2.61,5.14
MNE,943,Montenegro,Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.27,2.41,0.68,-0.48,0.53,-0.09,3.05,4.63,-1.71,,
MSR,,Montserrat,Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.83,-1.4,1.05,0.93,-1.56,,
MAR,686,Morocco,Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.55,1.06,0.96,0.63,0.6,1.86,1.19,0.11,0.84,1.27,2.84,1.43,0.56,
MOZ,688,Mozambique,Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.15,9.51,9.43,1.51,2.84,0.85,2.35,9.49,13.47,8.04,2.3,0.14,
MMR,518,Myanmar,Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.38,3.42,3.25,4.77,7.16,6.09,8.76,
NAM,728,Namibia,Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,7.24,13.85,6.39,3.44,3.63,6.48,5.57,5.56,3.12,5.01,4.75,5,4.4,2.95,4.2
NPL,558,Nepal,Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.73,4.81,4.02,4.96
NLD,138,Netherlands,Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.28,1.4,1.96,2.01,3.32,3.25,1.61,1.41,1.13,-0.05,1.35,2.04,0.98,2.02,2.3,2.41,2.34,0.45,0.13,0.09,1.08,1.4,1.94,1.44,
NIC,278,Nicaragua,Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.56,6.95,6.28,4.97,4.39,4.48,4.6,4.97,5.81,2.8,4.66
NER,692,Niger,Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.83,1.47,-0.08,2.22,4.87,-1.07,,0.5
NGA,694,Nigeria,Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.98,8.29,7.32,11.29,13.8,9.42,10.98,6.18,6.96,8.57,13.94,13.46,10.93,9.79,11.3,
MKD,962,"North Macedonia, Republic of",Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.17,1.02,1.99,4.39,-0.21,2.95,-2.11,1.09,1.54,2.44,2.74,0.3,-1.04,0.82,2.84,2.47,0.28,-0.14,
NOR,142,Norway,Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,11.3,12.61,10.33,8.28,5.62,5.36,7.15,9.45,6.35,4.7,3.78,3.68,2.55,3.19,1.49,2.67,0.88,2.28,1.92,2.24,3.04,3.46,1.62,0.61,0.08,1.47,1.66,0.48,2.82,1.66,2.4,1.82,1.18,1.65,1.89,2.17,3.62,2.19,2.26,2.59,1.88,
OMN,449,Oman,Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.23,0.1,0.79,1.68,3,2.9,7.65,2.01,3.35,4.33,3.76,0.5,0.69,0.3,2.41,2.08,1.85,-0.25,-2.13,
PAK,564,Pakistan,Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.85,12.26,13.41,9.16,7.59,2.29,4.01,4.09,6.96,9.59,7.19,8.07
PAN,283,Panama,Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,3.3,7.07,2.52,3.8,6.37,5.22,3.46,2.57,0.68,0.72,1.2,1.23,-0.64,-1.48,2.29
PRY,288,Paraguay,Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.96,3.91,7.44,3.8,2.44,5.58,5.79,2.05,4.3,3.25,3.38,2.61,4.17,3.59,2.12,2.74
PER,293,Peru,Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.93,3.18,3.02,3.23,2.94,3.38,2.87,,,1.88,
PHL,566,Philippines,Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.07,0.53,1.41,2.73,4.32,2.93,3.5,
POL,964,Poland,Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.97,1.97,1.9,2.16,3.2,2.59,0.35,0.05,-1,-1.37,1.21,1.34,1.25,1.46,3.65
PRT,182,Portugal,Inflation,Estimated Core Consumer Price Inflation,8.3,11.31,9.67,13.3,23.19,13.76,20.29,31.78,22.98,22.03,16.16,19.83,21.87,23.81,27.24,20.4,13.24,9.98,10.22,13.26,12.95,11.68,10.06,8.41,5.8,4.71,3.47,2.77,2.2,2.62,2.97,3.73,4.4,3.38,2.69,2.92,3.14,2.28,2,-0.39,1.5,3.73,1.74,-0.57,-0.3,0.35,0.68,1.43,0.9,0.35,-0.73,0.54
QAT,453,Qatar,Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.32,3.82,2.44,2.45,1.65,3.1,1.25,1.71,-0.3,-2.4,4.7
RUS,922,Russian Federation,Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.96,8.38,8.08,8.78,10.68,6.14,6.2,6.37,6.72,6.3,12.53,7.97,4.18,3.57,3.48,3.08,4.85
RWA,714,Rwanda,Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.27,2.33,6.98,12.35,1.31,2.75,4.84,2.87,3.8,1.73,0.57,-0.09,4.11,6.54,3.06,3.19,4.5
WSM,862,Samoa,Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6,3.77,10.3,2.27,2.13,5.01,2.06,1.07,1.19,0.56,0.96,2.61,4.34,0.13,-0.64,2.89
SMR,135,"San Marino, Rep. of",Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.52,0.75,0.64,-0.56,0.38,0.89,,,,
STP,716,São Tomé and Principe,Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.77,5.93,,,
SAU,456,Saudi Arabia,Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.15,2.77,1.34,0.86,1.94,-0.9,2.78,-0.55,3.43,4.77
SEN,722,Senegal,Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.94,0.98,-0.16,0.34,0.77,2.16,3.74,5.3,-2.23,-0.76,1.42,1.09,0.64,0.48,-0.11,0.05,0.59,0.12,2.19,2.55,
SRB,942,"Serbia, Rep. of",Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.76,8.8,7.64,8.51,7.85,7.82,3.25,0.36,1.77,3.27,2.07,1.45,,
SYC,718,Seychelles,Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.42,32.06,-3.14,2.11,5.89,3.6,1.9,7.33,0.25,1.84,4.12,1.67,,
SLE,724,Sierra Leone,Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.57,6.95,6.26,6.26,6.91,5.7,4.92,6.14,10.3,18.92,15.34,21.14,21.1,8.13
SGP,576,Singapore,Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,2.59,3.28,-0.1,3.08,4.05,3.39,2.19,1.16,0.4,0.47,1.64,1,1.07,-0.35,2.71
SVK,936,Slovak Republic,Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.65,7.29,3.33,3.99,1.12,2.16,2.72,0.87,2.45,3.16,0.58,0.48,-0.13,0.97,0.72,1.91,1.57,2.22,4.8
SVN,961,Slovenia,Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.55,7.59,5.84,4.29,2.79,2.02,1.87,2.93,1.21,0.75,-0.07,1.69,0.7,0.44,-1,-0.32,0.86,0.89,1.18,-2.16,1.18
SLB,813,Solomon Islands,Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.93,1.09,1.24,4.8,1.73,,
ZAF,199,South Africa,Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3,3.8,3.66,5.02,5.83,5.79,3.8,5.39,4.74,4.75,3.96,2.66,0.05
SSD,733,"South Sudan, Rep. of",Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.77,3.18,32.99,47.76,11.52,-1.97,34.71,391.3,219.21,117.15,28.01,,
ESP,184,Spain,Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.61,2.61,3.14,2.77,2.26,2.89,-0.22,2.64,3.02,2.07,0.9,-0.31,-0.95,-0.23,1.94,1.58,0.91,-0.94,0.66
LKA,524,Sri Lanka,Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.87,6.8,6.74,5.27,4.72,1.7,
KNA,361,St. Kitts and Nevis,Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.76,4.55,2.93,3.1,6.65,0.64,1.44,0.46,-0.52,0.74,1.23,-1.98,-0.88,,
LCA,362,St. Lucia,Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.39,-0.25,3.82,2.95,4.04,1.62,3.68,-3.79,-3,-1.27,-0.98,0.58,,
VCT,364,St. Vincent and the Grenadines,Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.38,0.6,-0.26,0.27,0.93,2.37,2.21,1.17,,
SUR,366,Suriname,Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.75,6.1,6.53,-0.43,6.65,22.77,4.46,0.74,1.58,-0.24,58.11,21.94,,,68.27,57.63
SWE,144,Sweden,Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,10.34,7.85,10.19,7.87,6.83,4.37,4.78,5.41,6.02,8.76,5.98,1.63,5.2,2.43,2.75,1.57,1.41,0.19,1.28,1.18,1.53,1.58,1.1,0.68,0.78,0.44,1.36,0.9,1.12,1.74,0.49,0.49,-0.23,0.03,0.63,1.04,1.37,0.97,0.97,0.91,
CHE,146,Switzerland,Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,,,,2.77,3.63,1.94,1.61,1.88,2.99,4.04,4.85,4.26,3.52,1.22,2.12,0.66,0.37,0.16,0.95,0.62,0.16,0.49,0.58,0.51,0.81,0.56,0.15,1.16,-0.25,0.33,0.1,-1.31,-0.72,-0.71,-1.45,-0.8,0.26,0.67,0.41,-1.16,
THA,578,Thailand,Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.55,1.27,0.36,-3.57,-0.4,1.54,1.67,-0.56,-3.62,4.12
TLS,537,"Timor-Leste, Dem. Rep. of",Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.09,1.59,-0.06,-0.16,3.7,0.81,,
TGO,742,Togo,Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.57,2.8,4.4,3.78,2.79,0.53,1.21,5.51,2.94,-0.12,4.23,1.37,2.37,4.24,1.6,2.35,1.87,0.49,0.21,-0.25,1.5,1.86,1.26,
TON,866,Tonga,Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.63,4.59,13.24,-4.4,4.28,6.42,0.93,-0.2,1.59,-3.68,3.71,6.33,,,,
TTO,369,Trinidad and Tobago,Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.26,3.73,6.09,6.52,10.61,6.32,11.61,5.16,9.32,6.43,6.63,5.17,3.25,2.4,1.18,1.62,-0.07,
TUN,744,Tunisia,Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.94,2.3,3.52,2.78,2.85,2.63,4.06,4.91,4.21,4.2,3.62,5.15,8.2,7.32,6.41,
TUR,186,Turkey,Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.58,5.98,6.26,4.47,8.18,6.82,8.35,6.71,7.79,5.78,9.24,11.27,15.61,13.34,13.79,16.36
UGA,746,Uganda,Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.14,5.85,2.91,4.41,5.45,3.64,3.81,4.33,4.72,
UKR,926,Ukraine,Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.44,11.1,18.23,17.71,8.11,7.89,2.5,1.26,11.48,41.06,14.87,13.9,11.4,7.78,2.53,
ARE,466,United Arab Emirates,Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.75,0.81,2.17,2.02,1.34,1.74,0.91,0.16,3.11,8.12,0.66,-2.46,
GBR,112,United Kingdom,Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,5.51,7.57,7.6,4.68,2.62,2.17,2.51,2.62,2.33,1.83,1.74,1.2,1.1,1.45,1.35,1.33,1.95,2.08,1.97,2.7,1.54,2.88,3.87,2.47,2.12,1.54,0.55,1.27,2.68,2.39,1.79,1.04,1.62
USA,111,United States,Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.88,2.21,0.99,0.63,-1.4,0.75,1.73,2.35,1.23,,
URY,298,Uruguay,Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.33,4.48,4.62,7.05,6.52,6.97,7.71,7.18,8.17,8.44,9.74,7.15,7.64,7.95,10.92,8.11
VEN,299,"Venezuela, RB",Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.19,4.62,6.47,6.09,5.29,13.61,6.59,6.26,12.32,9.53,10.14,4.26,0.73,2.95,6.72,3.84,1.76,,
VNM,582,Vietnam,Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.71,5.92,2.54,1.63,7.49,4.65,3.58,2.8,2.16,0.82,5,2.84,3.73,3.21,3.03,1.97,2.41,2.5,1.19,0.43,-0.03,0.66,-0.6,2.69
ZMB,754,Zambia,Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.19,8.04,9.48,16.71,6.41,6.79,8.31,13.96,
ZWE,698,Zimbabwe,Inflation,Estimated Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.62,3.19,3.29,1.61,1.26,-1.96,-0.68,0.07,8.48,,,
